标题,阅读量,评论,时间
光头光脚大阴线？,95,0,2023-08-28 10:10
又成功套一批,81,0,2023-08-28 10:10
哈哈哈哈哈哈哈,81,0,2023-08-28 10:10
天大的笑话,78,0,2023-08-28 10:10
一些百亿不到的国资，而且 业绩也不错，都拉不到涨停，哪来的信心！,94,0,2023-08-28 09:59
哈哈,82,0,2023-08-28 09:56
取消限购,779,2,2023-08-28 09:38
真垃圾,85,0,2023-08-28 09:46
相信一切为人民，考验忠诚度的时候到了,84,0,2023-08-28 09:46
沪深300股债收益差速览（20230825）,974,0,2023-08-28 09:37
Tm的外资砸盘,116,0,2023-08-28 09:37
又是卖出的大好时机！赶紧逃啊！,122,0,2023-08-28 09:29
开在3868,137,2,2023-08-28 09:09
还是看大金融，券商能不能横住，决定一切，可能吗？,87,0,2023-08-28 09:47
赚钱看幸运儿，幸运儿祝福你,120,0,2023-08-28 09:30
就怕高开低走，怕了，管住手看戏，不追高，认命了韭菜命,106,0,2023-08-28 09:24
从2008年两次降税的股市表现，应对本次降税股市波动。1.不会改变中长期走势；2,402,1,2023-08-28 08:21
看空的都是踏空的,113,0,2023-08-28 08:55
四大利好齐发，印花税减半征收，A股真正的拐点到了吗？,270,0,2023-08-28 08:46
当太阳升起的时候，没有黑暗敢与它作对，,167,1,2023-08-28 02:58
星期一（8月28日）的开盘上涨缺口今年下半年一定补掉的。历史规律和大环境决定的,187,0,2023-08-28 05:56
$减持新政还是有大漏洞，做个很少的利润，分红百分之三十也很少，等三年一到，再大减,201,0,2023-08-28 02:18
沪深300（2023.08.28市场展望）,340,1,2023-08-27 11:37
利好是交易层面的，实质是上市公司的盈利能力问题。周一大涨无疑，但后面还是会有新低,150,0,2023-08-28 01:36
重大利好，明天会不会千股涨停？,1111,3,2023-08-27 11:19
hs300看涨期权明天能涨多少倍,120,0,2023-08-28 12:07
哪一支箭最狠呢？,107,0,2023-08-27 11:59
想知道有没有多单周五割肉的,112,0,2023-08-27 11:08
牛来了，这是哥们二十二号晚上分享给大家的三个票，蕾奥规划300989，盛帮股份3,701,1,2023-08-25 05:58
病入膏肓的人，打了几针强心剂，就能满地跑了吗？,159,1,2023-08-27 08:54
吴晓求：要从融资的市场变成投资的市场,156,0,2023-08-27 09:11
消息是假。政策力挺A股市，无奈内外资大杀。,402,7,2023-08-23 08:25
重磅利好来了，朋友圈已经涨停,2395,2,2023-08-27 08:21
这次的主战场在期权上。银行里印的几十万亿冲进来，要爆平空头了。空头你打不爆它，未,130,0,2023-08-27 08:46
垃圾股不能减持！！！沪深300要起飞,119,0,2023-08-27 08:25
一周复盘（2023-8-21~2023-8-25)｜北向继续大额流出，市场全线下跌,570,0,2023-08-27 08:09
外部环境急剧恶化，背离全球股市走向，导致一轮中级反弹行情失败。需要重回3500点,246,1,2023-08-27 03:52
国家政策，明天大涨了！,125,0,2023-08-27 07:02
空头给明天出个开盘点位吧,136,1,2023-08-27 05:46
历次大盘3000点的PE1、2007年3月19号，上证指数3014点，市盈率40,1468,3,2023-08-27 09:12
有没有可能跌到3500点家人们，毕竟HS300盈利收益率/十年期国债收益率才3.,373,1,2023-08-26 07:40
为什么高层不能让A股继续大跌。因为大跌意味着很可能造成塌方式下跌。2005年99,1563,4,2023-08-26 09:06
看一下户深300成分股，不跌到1000没天理。哪个选出来的？,298,3,2023-08-25 09:12
连续3个低开跳空周线，跌破3500事在必然,134,0,2023-08-26 06:53
百万实盘本周小结（2023年8月26日）“稳赢520”组合自2023年5月20日,761,0,2023-08-26 05:48
黄哥价值派：37%！A股何时止跌？8月以来下跌近300点！,1167,1,2023-08-25 05:34
今天又加仓沪深300了，偶不是故意的，定投没关，低估自动买入[坏笑][坏笑][坏,636,6,2023-08-25 11:13
目前进入空头陷阱！——实际属于顺势调整2浪之c浪。真正的主升浪即将来临，满仓持有,502,4,2023-08-12 08:22
过山车,211,1,2023-08-25 02:28
谨以此片献给买了中国股市的我们,2125,5,2023-08-25 04:56
上证50威武，万绿丛中一点红[想一下]证明什么？不装了，明白拉指数维稳，哄韭菜入,177,0,2023-08-25 03:34
512570证券ETF上涨1%！资管同比小幅下降年初以来市场持续波动继续拿住5,167,0,2023-08-25 02:38
从近期A股市场表现来看，沪深300估值再度回调至历史低位所以准备抄底上车医药E,234,0,2023-08-25 02:37
当前我国医药产业正处在从高速增长到高质量发展跨越的重要历史新阶段医药ETF(S,129,0,2023-08-25 02:36
人工智能ETF159819市场底差不多了，乐观向上磨积极布局等着行情到了,151,0,2023-08-25 02:29
目前在算力领域，多家企业正围绕AI大模型热潮带来的智算市场加快布局将人工智能E,158,0,2023-08-25 02:29
所谓的科技股，还是估值不便宜，暴跌啊,156,0,2023-08-25 02:25
在“政策底”确认后，沪指往往随即出现反弹现在就先布局科创板50ETF(SH58,160,0,2023-08-25 02:23
股东数增加2万5，全是散户了,106,0,2023-08-25 02:21
又竖中指[奸笑][奸笑][奸笑],81,0,2023-08-25 02:14
不是往上拉了一下吗？恒指、A50都联动，有什么好消息没？,117,0,2023-08-25 02:12
这样急拉急跌，只会让投资者信心全无，纯粹钓鱼,108,0,2023-08-25 02:12
再破一次3500才是真底,158,1,2023-08-25 02:05
谣言都不灵了,105,0,2023-08-25 02:06
510310沪深300ETF易方达业绩增速较快不算2006、2007年的高增速,106,0,2023-08-25 02:05
看看谁是老大？一声令下，拉起来。拉的立旗杆，跌的一塌糊涂,94,0,2023-08-25 02:03
证券保险银行地产，立旗杆，又是无形之手，有你们这样的吗？老胡胡主编，看看啥叫装？,82,0,2023-08-25 01:59
下跌趋势形成，就靠市场想扭转，难了，跌停板增加了，很多板块跌破所有均线，只有几个,119,2,2023-08-25 01:32
今天尾盘很可能飞流直下三千尺，2950！！！,83,0,2023-08-25 01:40
经历了长达两年的调整，医药ETF(SH512010）板块估值已来到历史低位向上,200,0,2023-08-25 01:53
证券保险上窜下跳，指数忽高忽低，证券挺住，坚持住，挺不住，就是飞流直下三千尺,149,1,2023-08-25 01:25
这是重点！,114,0,2023-08-25 01:49
慢慢来，等周末政策，下周再选方向,86,0,2023-08-25 01:48
真的累！除了累，你还失望、焦虑、伤心。,143,1,2023-08-25 01:03
各大指数均创近期新低！,105,0,2023-08-25 01:32
在新浪潮中，科创板50ETF(SH588080）有望王者归来重回高速增长。,103,0,2023-08-25 01:18
30万实盘之八月二十一日,1456,7,2023-08-21 03:43
股市更应该倾听一线散户的声音，机构和散户就像一枚硬币的两面，怎么可能替散户发声？,174,5,2023-08-25 10:50
近期内资主力砸盘，快速拉升只用50，缓慢出150，第二天出300，再用50快拉，,171,1,2023-08-25 10:47
昨天骗韭菜，今天会加倍卖出埋，莫伸手，伸手必被内资砸死，坑A的永远是A自己人,173,1,2023-08-25 10:08
今天该轮到太平洋跌停了，指数的话必然还是大跌，下午加速，最低点光脚阴收盘。,168,0,2023-08-25 10:43
就是啦大金融，真拉指数,137,0,2023-08-25 10:25
砸盘是常态，昨天骗炮，今天会加倍卖出，别伸手,161,0,2023-08-25 09:53
昨天涨够不够今天跌呢？,177,1,2023-08-25 09:23
漂流感觉不错,215,0,2023-08-25 09:03
$沪深300(SH000300)$,135,0,2023-08-25 04:01
【互动平台热点集要｜多家公司回应数据要素、核污水等相关业务情况】【数据要素】中国,349,1,2023-08-24 02:00
数字货币，人民币历史大黑马长亮科技,303,2,2023-08-25 01:25
我认为港股的低估值有可能不应该被视作投资的风险而应该被视作对于投资人的巨大机遇,217,1,2023-08-24 03:41
人工智能ETF159819迎来全新发展机遇盈利能力明显提升，重仓持有了。,181,0,2023-08-24 04:35
继算力、存力之后，AI芯片封装的“封力”也已经走到聚光灯下个人觉得后面可多关注,163,0,2023-08-24 04:32
超充电池的推广及应用，将有望带来电池产业链电动车电子电气架构、充电桩、电网等方,149,0,2023-08-24 04:28
收盘快讯2023-8-24丨三大股指收涨，北向资金终结连续13日净流出态势,290,1,2023-08-24 04:19
积极布局科创板50ETF(SH588080)相关产业链未来值得期待，积极把握这,154,0,2023-08-24 04:22
复苏预期受阻，市场短期维持震荡。风格上再度回归平衡。我准备买入510310沪深,133,0,2023-08-24 04:02
富时A50涨这么多，上证不跟。看来做空主力是内资。要提高警惕明天数据收敛了开始向,191,1,2023-08-24 03:16
未来医药ETF(SH512010）板块风险进一步释放支撑收入与盈利上行，抄底上,140,0,2023-08-24 03:23
长期来看利好科创板50ETF(SH588080)市场营收增长以及规模效应带来盈,134,0,2023-08-24 02:57
收入维持快速增长，盈利同比改善显著人工智能ETF159819板块具有较强的成长,134,0,2023-08-24 02:49
哦要崩了，首创跌停还是没得跑,132,0,2023-08-24 02:33
这个走势，看起来怎么像是拉高出货按说已经低位了不太可能吧,120,0,2023-08-24 02:30
半导体芯片具有计算、存储连接和传输、感知、驱动控制等重要功能，打算长期持有51,137,0,2023-08-24 02:25
看证券能不能顶住抛压，指数反弹空间太小了，,186,2,2023-08-24 01:15
两千亿市值的股票，只有两百多万股成交量，咋玩啊,172,0,2023-08-24 01:38
主力，两点还准时跳水吗？，已经没钱加仓了,144,0,2023-08-24 01:27
反弹到五日线，强阻力，看戏，管住手,107,0,2023-08-24 01:09
北向食回头草！,110,0,2023-08-24 01:04
【经典重温】巴菲特评市场先生,224,0,2023-08-24 01:03
跌无可跌，反弹一触即发！,124,0,2023-08-24 12:42
现在连句实话都不能说了，连删两个帖子，难道小散就不能给市场提点建议了吗,146,0,2023-08-24 12:27
目标3500,164,2,2023-08-24 10:58
老乡别走,97,0,2023-08-24 12:23
指数连续下跌，此处该不该抄底？作为一个趋势交易派，我认为短期可能会有一个反弹，但,716,3,2023-08-24 07:56
数字经济主线“王者”归来？,353,0,2023-08-24 11:31
这么办？我好害怕啊,139,1,2023-08-24 09:58
银行保险石油大基建三大通讯补跌，就看券商，证券挺不住，大盘还得跌,110,0,2023-08-24 10:39
【红利低波】震荡市更显韧性，最新份额突破20亿份,511,0,2023-08-24 10:32
成立一个公共基金，大股东违规减持套现，倒查30年。把查出来的钱再回流股市。,150,0,2023-08-24 09:59
把外资骗进来一起坑？,103,0,2023-08-24 09:56
砸死韭菜！,109,0,2023-08-24 09:54
下午需要跳水吗？主力！,120,0,2023-08-24 09:43
只有利用开盘时间造成人为恐慌，一个小时之后股票就无人问津了。,134,0,2023-08-24 09:33
老外在吵架,389,0,2023-08-24 08:40
9月份股指期货、期权诱空完美成功，8月30日收盘之后放心买股，9月份必收阳线。为,247,0,2023-08-24 08:13
还是涨不了,117,0,2023-08-24 07:21
今天上午10:00的时候，我就说了，今天是一个探底回升，莫怕。现在看一看是不是探,2739,44,2023-08-22 02:28
人生，总是这样，遇到问题，自己扛过去，其他人，都指望不上！,413,2,2023-08-23 08:33
明天开盘满仓抄底了，搏短期反弹,112,0,2023-08-24 12:42
黄哥价值派：38%！太难了，A股击穿3100点，再创2023年新低！,4669,3,2023-08-23 04:36
指望市场自救是不现实的,1967,14,2023-08-23 02:22
是利好，问题是所有的利好要等市场底以后兑现。,196,1,2023-08-23 06:39
$沪深300(SH000300)$,185,1,2023-08-23 07:51
满仓了，这周与大A共存亡。[怒],398,8,2023-08-15 07:55
今天大长腿，明天必须阴跌一个实体柱才能启动,237,5,2023-08-22 03:03
转发4,107,0,2023-08-23 07:05
见底是迟早的事，反正不赚钱就是不卖。,141,0,2023-08-23 06:43
市场底部出现了吗？我们不要去确认底部，可以确认的是明天会上涨，是的，明天会继续上,176,0,2023-08-22 05:13
今天的大反弹如约而至，结论依然不变，23号继续反弹。,209,1,2023-08-22 02:46
我老早就说了，让大小非流通是中国股市二级市场上一记最严重的败笔！只是不原承认，并,146,0,2023-08-23 04:49
沪深300股债收益差速览（20230818）,1210,3,2023-08-21 01:42
从月线上来看，基本上是到底了。,129,0,2023-08-23 04:24
这么恶心的吗？？？？不能做个人？,144,0,2023-08-23 03:57
昨天反弹回血4000，今天亏损8000多，像极了股灾！把今天想做T0减小亏损的加,212,2,2023-08-23 03:33
满仓做空，别墅靠大海,105,0,2023-08-23 03:38
【收市点评】A股三大指数震荡下跌，北向资金净卖出104.61亿元,647,0,2023-08-23 03:36
3000点搏斗，要不要含泪加仓？,931,4,2023-08-23 03:15
主力机构都是有病的猴子在操作吧,120,0,2023-08-23 03:21
管好自己手，不抄，不抄，不抄，忍不住就别人抄你家,151,1,2023-08-23 02:54
明天早盘如果下杀到3670附近我就满仓抄底,106,0,2023-08-23 03:08
做空A股一时爽，一直做空，一直爽,99,0,2023-08-23 03:05
300家只有可怜的27家是涨的,95,0,2023-08-23 03:03
做空股指期货，永远是赢家。,95,0,2023-08-23 03:02
百分百中信砸的,248,5,2023-08-23 02:09
震荡这么剧烈，理想拿住，没其他选择,100,0,2023-08-23 02:55
医保基金的持续增长是药品行业增速的基石在这样持续成长的行业里总能挖掘到结构性替,119,0,2023-08-23 02:53
周线来看，这明显是一个下跌趋势啊，下跌破新低，反弹不破高。这次大概率还得破低，这,115,0,2023-08-23 02:53
药品审评趋严，竞争格局有望改善医药ETF(SH512010）业务盈利能力有望显,121,0,2023-08-23 02:42
常规诊疗不断恢复叠加政策边际放松，板块有望迎来戴维斯双击看好医药ETF(SH5,132,0,2023-08-23 02:41
电子行业作为所有科技革命的硬件基础，未来必然会充分受益重点关注人工智能ETF1,119,0,2023-08-23 02:17
全球企业云基础设施服务整体支出持续扩张支撑云基础设施Capex持续投入。人工智,118,0,2023-08-23 02:11
证券上窜下跳太伤人，反而容易引起尾盘跳水，看他表演,113,0,2023-08-23 02:05
价格见底的硅料、硅片环节估值有望修复看好具备综合盈利能力优势的科创板50ETF,137,0,2023-08-23 02:04
7月光伏装机环比继续上升，坚定看好全年光伏需求科创板50ETF(SH58808,155,0,2023-08-23 02:04
AI浪潮随风起，通信板块长受益看好下半年人工智能ETF159819板块板块的投,102,0,2023-08-23 02:00
模型参数的缓存量较大，DRAM配置需根据模型大小同步递增有望带动人工智能ETF,129,0,2023-08-23 01:37
当前新能源车处于低估区间，伴随新能源车进入销售旺季科创板50ETF(SH588,129,0,2023-08-23 01:26
挺起嵴梁了吗？拉煤矿有什么用？,162,1,2023-08-23 11:20
完善交易制度建议之二：建议所有股票实行评级制度，只有A级股票才能减持和质押，A级,272,3,2023-08-23 09:28
沪深300没跌怎，要到3400。,222,1,2023-08-23 10:55
大盘止跌，可能从科创板开始，因为1是科创板指数正好在历史低位，2是科创板盘子小，,146,0,2023-08-23 11:11
A股放量大涨，外资仍在抛售，“市场底”究竟来了没有？,599,2,2023-08-22 06:36
小心咋天这个反抽就是120月线3073的反弹，总觉得:很可能高位又要补跌加底位探,206,0,2023-08-23 09:36
人民就是江山,118,0,2023-08-23 09:28
证券股开始表演了，立旗杆，钓鱼，上的快，下的也快,141,0,2023-08-23 02:01
一个流通盘上百亿的银行股，成交量只有几百万股，咋玩,134,0,2023-08-23 01:49
就靠银行石油，稳指数，大盘成交量太少了,106,2,2023-08-23 01:36
看这架势，上周五，看齐,105,0,2023-08-23 09:35
8.22收盘点评 3074点具备低点性质,783,1,2023-08-22 05:00
2022年回顾及2023年展望——之二——个股,6747,77,2023-01-04 09:21
对大盘看法没变，依然是2800一层仓位抄底，2400三层。1600五层，800满,182,0,2023-08-22 06:49
目前整体估值位置,247,0,2023-08-22 06:37
【收市点评】A股市场三大指数V型反弹，通信、计算机与传媒涨幅居前,421,0,2023-08-22 05:05
黄哥价值派：40%！券商异动拉升，A股深V反弹，到底了吗？,1073,1,2023-08-22 04:14
主跌结束，大底不远,457,0,2023-08-22 04:11
前低3495.95,136,1,2023-08-22 01:52
金融三大通讯石油，稳大盘，立了大功，题材开始唱戏，明天继续震荡反弹,128,0,2023-08-22 02:58
大长腿,99,0,2023-08-22 02:54
【定投034 期】2023.08.15 买入沪深300ETF、医疗 ETF,870,9,2023-08-15 03:16
这样的走法，大反弹就在明天。拭目以待。嘿嘿,193,1,2023-08-21 03:01
数字货币进入主升浪了,143,0,2023-08-22 02:41
数字货币进入主升浪,123,0,2023-08-22 02:38
这指数是假的吧？上涨了没赚钱还亏钱？,137,0,2023-08-22 02:26
走出低点需要些契机,177,0,2023-08-22 02:18
我们精准预判:咋天破了3110.3100.3095三个整数关口。属于实质性破位！,268,1,2023-08-22 12:48
大金融发力大盘就红了,129,0,2023-08-22 02:05
大环境扰动下，行业业绩韧性十足看好医药ETF(SH512010）板块持续稳健增,137,0,2023-08-22 02:02
A股市场经历震荡调整后，风险溢价水平再度回升至较高水平若后续居民资金入市意愿进,149,0,2023-08-22 02:02
半年维度上，看好人工智能ETF159819行业周期复苏AIGC新应用催生的新需,118,0,2023-08-22 02:00
没管住手，抄底被套，如果是t加0，今天有机会卖掉，t加一，眼看着买完，一点一点套,130,0,2023-08-22 02:00
前低3495.95,90,0,2023-08-22 01:52
大概率跳水，还在好股市狂欢！,108,0,2023-08-22 01:50
今天大概率是要红一下,205,2,2023-08-22 01:11
当前A股市场已将部分不确定因素充分定价或可把握医药ETF(SH512010）板,120,0,2023-08-22 01:02
随着人工智能ETF159819板块各行业智能化升级转型人工智能应用场景逐渐多元,114,0,2023-08-22 12:59
新能源业务高速增长科创板50ETF(SH588080)板块 22 年业绩高增，,117,0,2023-08-22 12:52
人性向左，财富向右。,1348,7,2023-08-21 02:53
胡锡进怎么不说话了，还赚钱吗,139,1,2023-08-22 11:40
股指从2021年节后的高点开始一路调整到现在，而那时沪深300的估值达到了10年,134,0,2023-08-22 12:03
周线3782缺口还是需要补掉的，以便更好的下跌。,170,1,2023-08-22 11:50
未来股指总体预计将维持震荡格局，同时仍需密切关注政策面资金面以及外部因素的变化,114,0,2023-08-22 12:00
A股的牛性十分强劲啊,101,0,2023-08-22 11:44
政策上稳定市场预期以及提振市场信心的动作频频我感觉指数或将在震荡中寻求向上！继,127,0,2023-08-22 11:29
周二11：00过后进入上涨通道，持续到明天早盘。,184,1,2023-08-22 11:04
一顿操作再套一批牛批,107,0,2023-08-22 11:10
北向天天流出是好事吧？,131,0,2023-08-22 10:50
主力资金出手不凡，专门拉指数个股，三大通讯，石油，大金融，立功了，屡试不爽,135,0,2023-08-22 10:18
抄底的时候到了吗,157,0,2023-08-22 10:14
跌不出量，市场已经进入极度无感的盘面了。市场对于好消息还是坏反应，坏消息也是坏反,263,2,2023-08-22 09:53
都神游了,304,1,2023-08-22 08:33
本周解禁市值1800亿，能扛住？,153,0,2023-08-22 09:47
主力资金太坏了，又来个高开，低走～看看能走到哪里，玩死人,108,0,2023-08-22 09:41
风雨飘摇！,120,0,2023-08-22 08:06
T十0只是很普通的交易规则本质和T十1没有任何区别，只是多一种选择罢了，没有任何,156,0,2023-08-22 07:54
个人认为现在可以开始定投沪深300现在基本上处于政策底和市场底区间了，市场底肯定,240,1,2023-08-22 07:00
重磅利好只有一条大a有救了？,14646,98,2023-08-19 06:11
转发3,109,0,2023-08-22 06:52
胡锡进加仓【接近满仓！胡锡进今天给5只股票加仓，总浮亏5378元】#胡锡进亏钱了,4253,11,2023-08-21 06:10
道路是坎坷的,798,3,2023-08-20 05:27
黄哥价值派：37%！A股失守3100点，股民怎么办？,777,0,2023-08-21 04:47
感觉到好丢人啊，丢到银河系去了,138,0,2023-08-21 07:34
没有千股涨停就没有反转。我说的[笑哭][笑哭][笑哭],146,0,2023-08-21 07:12
一切都不能阻止大股东减持的步伐,113,0,2023-08-21 06:43
转发,154,1,2023-08-15 11:40
数十家A股公司回购股票，提振信心还是“诱敌深入”？,1143,9,2023-08-18 04:13
近9亿元！公募开启自购潮，“基金底”已现？,560,0,2023-08-21 04:38
今天破了3110.3100.3095三个整数关口。属于实质性破位！破3100整数,232,0,2023-08-21 04:13
如果在6年前，也就是2017年8月买入这个指数，当时估值也不高，然后拿到现在，居,207,1,2023-08-21 03:43
明天收阳线，后天金针探顶完继续暴跌。,120,0,2023-08-21 03:39
2005：政策底1162，市场底998，市场底晚于政策底2个月，点位低164点。,71620,198,2023-07-24 10:35
我已撒了3100点下无险可守！,122,0,2023-08-21 03:13
我们都知道，黎明来临前总是黑暗的。,82,0,2023-08-21 03:12
活跃成单边下跌市,92,0,2023-08-21 03:11
稳住稳住，别人恐惧你贪婪，只要不不开账户，都不算跌。,147,2,2023-08-21 02:37
得知消息后，曹操秘密召见王垕，对其说道，“我想向你借一样东西，以安全军将士之心，,208,0,2023-08-21 02:57
别跑，还有一篮子利好！,100,0,2023-08-21 02:45
今年是未来30年最好的一年？,158,2,2023-08-21 01:39
大哥，我买指数都买到妻离子散了！,194,1,2023-08-21 11:23
医药ETF(SH512010）板块经营趋势积极向好，迎来发展机遇长线去持有了,117,0,2023-08-21 02:19
医药行业的学术会议是学术交流、经验分享促进医药技术进步和创新发展的重要平台，需,132,0,2023-08-21 02:18
逢高做空吃皮[韭菜],78,0,2023-08-21 02:17
AI大模型加持叠加旺季来临 消费电子产业期待重回繁荣人工智能ETF159819,173,0,2023-08-21 01:51
新能源汽车业务呈现快速增长态势，科创板50ETF(SH588080)板块展空间,115,0,2023-08-21 01:43
我预期：截止到今天，顶多到明天，这一轮指数调整接近尾声，调整要结束了。a股港股汇,1986,24,2023-08-17 09:53
反弹到下午13：15随后暴跌。,221,2,2023-08-21 11:06
逢高做空就对了,83,0,2023-08-21 01:08
鉴于科创板50ETF(SH588080)行业库存周期处于低位三四季度业绩有望持,106,0,2023-08-21 12:52
随着加大宏观政策调控力度、扩大有效需求做优实体经济和防范风险等政策措施的出台以,115,0,2023-08-21 12:46
医药领域反腐将打击、清退部分运营不合规的企业遏制违规行为，从而有利于推动行业高,124,0,2023-08-21 12:40
补缺口开始2022/11/28日，3736---3766看看啥样,184,1,2023-08-21 09:37
近些年，我国机器人市场规模持续快速增长“机器人+”应用不断拓展深入，将促进人工,114,0,2023-08-21 12:33
伴随面板产能向中国大陆转移，显示芯片供应链本土化趋势明显积极布局显示芯片封测业,95,0,2023-08-21 12:21
伟大的转折,110,0,2023-08-21 11:33
510310沪深300ETF易方达优势产品在竞争中不断强化领先地位形成规模效应,129,0,2023-08-21 11:25
最近利好不断516510云计算ETF抄底机会不能错过,76,0,2023-08-21 11:21
刘强在期货风云录这本书中这么写道，不要去判断市场顶和底，要想活得长久，就一定要顺,412,5,2023-08-20 09:47
新低就加仓，拿住，距离23日的大反弹不远了，前后误差不超过一天。,128,0,2023-08-21 10:25
诸多利好，为啥下去了？,201,2,2023-08-21 09:48
破位下行……,113,0,2023-08-21 10:01
今年新低了,99,0,2023-08-21 09:58
深圳指数基本回到去年十月末，上证指数看看,135,0,2023-08-21 09:53
牛逼,93,0,2023-08-21 09:52
大金融补跌，大盘飞流直下，开始指数保卫战,146,0,2023-08-21 09:52
等3500分批建仓,105,0,2023-08-21 09:51
"灵魂很高尚,身体很诚实",105,0,2023-08-21 09:51
这才叫世界上最先进的收割机技术，科技含量最高大上，是掌握核心技术最伟大的收割机[,163,0,2023-08-21 09:47
周末这会开的什么,119,0,2023-08-21 09:33
底在哪,790,0,2023-08-20 12:26
明天又将创造历史,7937,26,2023-08-20 06:41
八月第三周交易复盘，本周盈利2017.17元，本周遵循自己交易系统，无额外操作，,139,0,2023-08-21 07:58
沪深300（2023.08.21市场展望）,419,0,2023-08-21 01:02
戳破市场假象，看一眼利率就好一个国家的资产价值在其币种的购买力就能看出，不然为何,335,0,2023-08-20 11:52
资金的选择很明显了,266,0,2023-08-20 06:52
小利好,508,4,2023-08-20 03:26
场外资金何时进场？,120,0,2023-08-20 12:54
拉长了看沪深300跌不破半年线，所以这个位置差不多了,173,0,2023-08-20 10:50
转发2,131,0,2023-08-19 08:00
做空的空仓的有福了，3050大抄底,177,0,2023-08-19 05:23
抄[惊吓][惊吓]！杀！[惊吓][惊吓]！梭哈抄底！[惊吓][惊吓],168,0,2023-08-19 04:31
百万实盘本周小结（2023年8月19日）“稳赢520”组合自2023年5月20日,584,0,2023-08-19 12:50
2023年开年以来，截至8月18日A股沪深股市主力流出35151亿元。北向反而净,1134,5,2023-08-18 11:20
关于IPO的问题，请参考--休渔期，生态平衡不能破坏，不能违反自然法则。,152,0,2023-08-19 10:23
投资者无尊严,163,1,2023-08-18 03:37
又挨揍了,1071,3,2023-08-18 09:01
刚刚收市劲爆消息一条接一条下周稳了？,3461,30,2023-08-18 06:09
养基人注意：风浪越大鱼越贵！,562,1,2023-08-18 08:12
#胡锡进被套#【胡锡进：个人盘今天绿了，亏损1505元】8月18日，胡锡进发布最,671,0,2023-08-18 06:26
小票的估值贵吗？,228,0,2023-08-18 05:54
中国人口多，资源少，公民生活压力自然大，竞争激烈，许多企业上市就只为圈点钱，好为,254,0,2023-08-18 04:51
世界上为什么会有那么撒。。比的股市。为什么,207,2,2023-08-18 01:17
买指数都买都妻离子散,188,1,2023-08-18 02:20
30万实盘之八月十八日,1152,2,2023-08-18 03:24
早上9：41就发了，主力直到收盘也没告诉我哈哈。,134,0,2023-08-18 04:10
今天的买点可还行,608,1,2023-08-17 03:44
从需求来看，全球新药管线药企医药研发投入均呈现了向上增长的趋势，医药ETF(S,228,1,2023-08-18 01:05
跟我们预测的一模一样如期破掉今天最低支撑位3135点。那就要注意下周一有更大一的,135,0,2023-08-18 03:12
主力太狠了，这点儿筹码都不放过,144,0,2023-08-18 02:22
3150必须死守，否则一败涂地,167,1,2023-08-18 01:34
一旦跌破378这个平台，将进入下一个区域3500到3780之间！,128,0,2023-08-18 01:58
政策上稳定市场预期以及提振市场信心的动作频频我感觉指数或将在震荡中寻求向上！继,205,1,2023-08-18 01:19
存储行业下游应用领域广阔科创板50ETF(SH588080)行业底部信号明确，,132,0,2023-08-18 01:38
放7.5%,97,0,2023-08-18 01:36
今天抄底的人可真不少！,212,1,2023-08-18 12:49
今天如果不能上攻到3185以上、那要注意下周一有更大一些的调整，会继续向下向31,126,0,2023-08-18 01:12
近期连续反弹后，市场在反弹高位振荡保持反弹趋势，运行态势较为正常。热点结构性分,117,0,2023-08-18 01:12
目前AI仍处于底部周期向上改善的阶段叠加政策利好预期等因素，人工智能ETF15,141,0,2023-08-18 12:48
会跌破这一线支撑吧，一泻千里,135,0,2023-08-18 12:40
随着新型储能产业即将进入爆发期多地纷纷推出相关规划与政策。看好新型储能的上市公,121,0,2023-08-18 12:39
在全球百年大变局深化演进背景下512560易方达中证军工ETF行业有望保持长期,137,0,2023-08-18 12:18
展望2023全年产业链价格回落，需求进一步释放，588023科创成长50E分布,144,0,2023-08-18 12:07
沪深300估值再度回调至前期低位附近处于历史低位，医药ETF(SH512010,124,0,2023-08-18 11:57
位于产业链上游的军工电子白马股在下游需求释放时有望率先兑现至业绩端512560,189,0,2023-08-18 11:31
有业绩驱动、业绩拐点预期的硬科技性价比已凸显的科创板50ETF(SH58808,126,0,2023-08-18 11:05
30万实盘之八月十七日,765,5,2023-08-17 03:34
【A股“回购潮”来了，两天超30家公司拟回购，市场活跃度持续被催化】昨日晚间，超,275,0,2023-08-18 10:45
等待510310沪深300ETF易方达回到前低附近再寻一些机会，现在紧盯就行,100,0,2023-08-18 10:29
尽失信心，能好吗,135,0,2023-08-18 09:46
告诉我没有黑色星期五的理由，券商你丫别跑。,140,0,2023-08-18 09:41
终于硬气一把,1332,0,2023-08-18 09:31
至少还要跌一周,114,0,2023-08-18 09:23
历史黑马,162,3,2023-08-17 08:55
难道是,101,0,2023-08-17 08:52
看看多单和空单,143,0,2023-08-17 08:32
【大盘】今年所有多方缺口都补了，市场情绪已经极度悲观，极度恐慌，极度绝望，多空比,833,4,2023-08-17 09:54
今天加仓了，但是涨起来了[囧],121,0,2023-08-17 08:16
加仓干就对了[强壮][上涨],144,0,2023-08-17 06:01
【定投035期】2023.08.16 买入沪深300ETF,1060,7,2023-08-16 04:24
明天指数跌两个点，目标3750点，券商一阴洞四阳。,280,3,2023-08-17 02:59
黑色星期四以最低价收盘,173,1,2023-08-17 01:34
